db,sseqid,name,rationale,reference
swissprot,P03851,YPB3_ECOLX,The recurring origin-region alignment is in a frame that does not encode this reference ORF and has no in-frame start methionine,curation:nested_feature_audit
swissprot,P03845,YPA1_ECOLX,The recurring ori alignment translates to a different peptide and its stop-bounded frame has no start methionine,curation:nested_feature_audit
swissprot,P03846,YPF1_ECOLX,The recurring CloDF13-origin alignment is in a stop-bounded frame with no start methionine and does not encode this reference ORF,curation:nested_feature_audit
snapgene,ISS,ISS,Legacy globally filtered feature that causes non-informative overlap calls,legacy:_filter.BLACKLISTED_SSEQIDS
